code,name,type,parent_code,city_class
0501724025,Sabang,barangay,0501724000,
0501724026,San Felipe,barangay,0501724000,
0501724027,San Francisco,barangay,0501724000,
0501724028,San Isidro,barangay,0501724000,
0501724029,Santa Cruz,barangay,0501724000,
0501724030,Tabuco,barangay,0501724000,
0501724031,Tinago,barangay,0501724000,
0501724032,Triangulo,barangay,0501724000,
0501725000,Ocampo,municipality,0501700000,
0501725001,Ayugan,barangay,0501725000,
0501725002,Cabariwan,barangay,0501725000,
0501725003,Cagmanaba,barangay,0501725000,
0501725004,Del Rosario,barangay,0501725000,
0501725005,Gatbo,barangay,0501725000,
0501725006,Guinaban,barangay,0501725000,
0501725007,Hanawan,barangay,0501725000,
0501725008,Hibago,barangay,0501725000,
0501725009,La Purisima Nuevo,barangay,0501725000,
0501725010,May-Ogob,barangay,0501725000,
0501725011,New Moriones,barangay,0501725000,
0501725012,Old Moriones,barangay,0501725000,
0501725013,Pinit,barangay,0501725000,
0501725014,Poblacion Central,barangay,0501725000,
0501725015,Poblacion East,barangay,0501725000,
0501725016,Poblacion West,barangay,0501725000,
0501725017,Salvacion,barangay,0501725000,
0501725018,San Antonio,barangay,0501725000,
0501725019,San Francisco,barangay,0501725000,
0501725020,San Jose Oras,barangay,0501725000,
0501725022,San Roque Commonal,barangay,0501725000,
0501725023,San Vicente,barangay,0501725000,
0501725024,Santa Cruz,barangay,0501725000,
0501725025,Santo Niño,barangay,0501725000,
0501725026,Villaflorida,barangay,0501725000,
0501726000,Pamplona,municipality,0501700000,
0501726001,Batang,barangay,0501726000,
0501726002,Burabod,barangay,0501726000,
0501726003,Cagbibi,barangay,0501726000,
0501726004,Cagbunga,barangay,0501726000,
0501726005,Calawat,barangay,0501726000,
0501726006,Del Rosario,barangay,0501726000,
0501726007,Patong,barangay,0501726000,
0501726009,Poblacion,barangay,0501726000,
0501726010,Salvacion,barangay,0501726000,
0501726011,San Gabriel,barangay,0501726000,
